Object,Method,AUROC,AU-PRO,Pixel AUROC,Pixel F1,IoU,Cls Accuracy,Cls Precision,Cls Recall,Cls F1,TP,FP,FN,TN
tile,1_shot,1.0000,0.6884,0.7383,0.5776,0.2257,0.7265,0.7321,0.9762,0.8367,82,30,2,3
tile,2_shot,1.0000,0.7239,0.7372,0.5782,0.2268,0.7521,0.7477,0.9881,0.8513,83,28,1,5
tile,4_shot,1.0000,0.7087,0.7370,0.5776,0.2285,0.7436,0.7455,0.9762,0.8454,82,28,2,5
tile,8_shot,1.0000,0.7125,0.7368,0.5787,0.2281,0.7607,0.7545,0.9881,0.8557,83,27,1,6
tile,zero_shot,1.0000,0.7053,0.7561,0.5898,0.2188,0.7179,0.7297,0.9643,0.8308,81,30,3,3
toothbrush,1_shot,0.9917,0.9036,0.9878,0.7557,0.1266,0.7143,0.7143,1.0000,0.8333,30,12,0,0
toothbrush,2_shot,0.9611,0.8825,0.9877,0.7517,0.1281,0.7143,0.7143,1.0000,0.8333,30,12,0,0
toothbrush,4_shot,0.9917,0.8882,0.9874,0.7512,0.1258,0.7143,0.7143,1.0000,0.8333,30,12,0,0
toothbrush,8_shot,0.9917,0.8860,0.9876,0.7431,0.1281,0.7143,0.7143,1.0000,0.8333,30,12,0,0
toothbrush,zero_shot,1.0000,0.9378,0.9887,0.7698,0.1222,0.7143,0.7143,1.0000,0.8333,30,12,0,0
transistor,1_shot,0.8387,0.4252,0.6758,0.4151,0.2150,0.4000,0.3980,0.9750,0.5652,39,59,1,1
transistor,2_shot,0.8383,0.4488,0.6788,0.4222,0.2210,0.5200,0.4487,0.8750,0.5932,35,43,5,17
transistor,4_shot,0.8583,0.4335,0.6802,0.4251,0.2150,0.5900,0.4928,0.8500,0.6239,34,35,6,25
transistor,8_shot,0.8663,0.4471,0.6784,0.4218,0.2153,0.6400,0.5312,0.8500,0.6538,34,30,6,30
transistor,zero_shot,0.8754,0.4657,0.6960,0.5280,0.1686,0.4600,0.4146,0.8500,0.5574,34,48,6,12
wood,1_shot,0.9798,0.7380,0.8079,0.5316,0.1052,0.7468,0.7632,0.9667,0.8529,58,18,2,1
wood,2_shot,0.9833,0.7444,0.8034,0.5302,0.1026,0.7722,0.7763,0.9833,0.8676,59,17,1,2
wood,4_shot,0.9816,0.7059,0.8033,0.5289,0.1053,0.7722,0.7692,1.0000,0.8696,60,18,0,1
wood,8_shot,0.9833,0.7415,0.8014,0.5283,0.1070,0.7722,0.7692,1.0000,0.8696,60,18,0,1
wood,zero_shot,0.9912,0.8074,0.8329,0.5572,0.0914,0.7342,0.7746,0.9167,0.8397,55,16,5,3
zipper,1_shot,0.9217,0.7478,0.9774,0.5803,0.0897,0.8013,0.7987,1.0000,0.8881,119,30,0,2
zipper,2_shot,0.9853,0.8561,0.9804,0.6115,0.0909,0.8278,0.8207,1.0000,0.9015,119,26,0,6
zipper,4_shot,0.9940,0.8166,0.9805,0.6133,0.0909,0.8344,0.8264,1.0000,0.9049,119,25,0,7
zipper,8_shot,0.9575,0.8606,0.9794,0.6008,0.0927,0.8146,0.8227,0.9748,0.8923,116,25,3,7
zipper,zero_shot,0.9089,0.7020,0.9798,0.5719,0.0887,0.8013,0.8027,0.9916,0.8872,118,29,1,3
